Ano;Região;UF;Estado;Organização Acadêmica PNP;Instituição (Nome);Instituicao;nomeUnidadeRecente;nomeIdCurso;tipoCurso;tipoOferta;ModalidadeEnsino;Número de cursos;Número de concluintes;Número de ingressantes;Número de inscritos;Número de Matrículas;Número de vagas;Matrícula Equivalente | Geral
2020;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Meio Ambiente (Técnico);Técnico;Subsequente;Educação Presencial;1;14;45;77;134;40;144,72
2020;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Mineração (Técnico);Técnico;Integrado;Educação Presencial;1;15;41;404;209;40;250,79999999999998
2020;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Mineração (Técnico);Técnico;Subsequente;Educação Presencial;1;15;45;298;121;40;145,2
2019;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Eletromecânica (Técnico);Técnico;Integrado;Educação Presencial;1;28;40;40;213;40;276,90000000000003
2019;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Eletromecânica (Técnico);Técnico;Subsequente;Educação Presencial;1;15;39;40;93;40;120,9
2019;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Informática (Técnico);Técnico;Integrado;Educação Presencial;1;27;40;40;214;40;256,8
2019;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Informática (Técnico);Técnico;Subsequente;Educação Presencial;1;25;39;40;97;40;116,39999999999999
2019;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Meio Ambiente (Técnico);Técnico;Subsequente;Educação Presencial;1;35;39;40;112;40;123,20000000000002
2019;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Mineração (Técnico);Técnico;Integrado;Educação Presencial;1;40;40;40;223;40;267,59999999999997
2019;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Mineração (Técnico);Técnico;Subsequente;Educação Presencial;1;26;40;40;86;40;103,2
2018;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Eletromecânica (Técnico);Técnico;Integrado;Educação Presencial;1;12;80;693;205;80;266,5
2018;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Eletromecânica (Técnico);Técnico;Subsequente;Educação Presencial;1;26;38;763;106;40;137,8
2018;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Informática (Técnico);Técnico;Integrado;Educação Presencial;1;33;80;693;239;160;286,8
