Ano;Região;UF;Estado;Organização Acadêmica PNP;Instituicao;Instituição (Nome);nomeUnidadeRecente;nomeCurso;tipoCurso;tipoEixoTecnologico;SubeixoTecnologico;tipoOferta;turnoCurso;ModalidadeEnsino;nomeFonteFinanciamento;Número de Matrículas;Matrículas | Número de Evadidos;Matrículas | Taxa de Evasão %
2021;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Informática;Técnico;Informação e Comunicação;Informática;Subsequente;Noturno;Educação Presencial;Sem Programa Associado;45;;
2021;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Meio Ambiente;Técnico;Ambiente e Saúde;Meio Ambiente;Subsequente;Noturno;Educação Presencial;Sem Programa Associado;62;;
2021;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Mineração;Técnico;Recursos Naturais;Recursos Minerais;Integrado;Integral;Educação Presencial;Sem Programa Associado;109;3;0,028
2021;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Mineração;Técnico;Recursos Naturais;Recursos Minerais;Integrado;Noturno;Educação Presencial;Sem Programa Associado;59;1;0,017
2021;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Mineração;Técnico;Recursos Naturais;Recursos Minerais;Subsequente;Noturno;Educação Presencial;Sem Programa Associado;54;;
2022;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Computação;Licenciatura;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;Não se aplica;Noturno;Educação Presencial;Sem Programa Associado;143;58;0,406
2022;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Especialização - Desenvolvimento Educacional e Social;Especialização (Lato Sensu);Desenvolvimento Educacional e Social;Desenvolvimento Educacional e Social;Não se aplica;Não se aplica;Educação a Distância;Sem Programa Associado;7;;
2022;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Eletromecânica;Técnico;Controle e Processos Industriais;Automação;Integrado;Integral;Educação Presencial;Sem Programa Associado;180;7;0,039
2022;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Eletromecânica;Técnico;Controle e Processos Industriais;Automação;Subsequente;Noturno;Educação Presencial;Sem Programa Associado;76;25;0,329
2022;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Informática;Técnico;Informação e Comunicação;Informática;Integrado;Integral;Educação Presencial;Sem Programa Associado;123;5;0,041
2022;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Informática;Técnico;Informação e Comunicação;Informática;Integrado;Noturno;Educação Presencial;Sem Programa Associado;46;2;0,043
2022;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Informática;Técnico;Informação e Comunicação;Informática;Subsequente;Noturno;Educação Presencial;Sem Programa Associado;55;38;0,691
2022;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Meio Ambiente;Técnico;Ambiente e Saúde;Meio Ambiente;Subsequente;Noturno;Educação Presencial;Sem Programa Associado;72;14;0,194
2022;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Mineração;Técnico;Recursos Naturais;Recursos Minerais;Integrado;Integral;Educação Presencial;Sem Programa Associado;125;15;0,12
2022;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Mineração;Técnico;Recursos Naturais;Recursos Minerais;Integrado;Noturno;Educação Presencial;Sem Programa Associado;69;;
2022;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Mineração;Técnico;Recursos Naturais;Recursos Minerais;Subsequente;Noturno;Educação Presencial;Sem Programa Associado;67;12;0,179
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Assistente Administrativo;Qualificação Profissional (FIC);Gestão e Negócios;Gestão e Negócios;Não se aplica;Noturno;Educação Presencial;Sem Programa Associado;49;6;0,122
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Assistente Administrativo;Qualificação Profissional (FIC);Gestão e Negócios;Gestão e Negócios;PROEJA -;Vespertino;Educação Presencial;Sem Programa Associado;84;26;0,31
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Computação;Licenciatura;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;Não se aplica;Noturno;Educação Presencial;Sem Programa Associado;104;12;0,115
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Operador de Computador;Qualificação Profissional (FIC);Informação e Comunicação;Informática;PROEJA -;Vespertino;Educação Presencial;Sem Programa Associado;85;30;0,353
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Qualificação Profissional - Desenvolvimento Educacional e Social;Qualificação Profissional (FIC);Desenvolvimento Educacional e Social;Desenvolvimento Educacional e Social;Não se aplica;Noturno;Educação Presencial;Sem Programa Associado;23;3;0,13
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Qualificação Profissional - Desenvolvimento Educacional e Social;Qualificação Profissional (FIC);Desenvolvimento Educacional e Social;Desenvolvimento Educacional e Social;Não se aplica;Vespertino;Educação Presencial;Sem Programa Associado;30;5;0,167
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Qualificação Profissional - Informação e Comunicação;Qualificação Profissional (FIC);Informação e Comunicação;Informação e Comunicação;Não se aplica;Vespertino;Educação Presencial;Sem Programa Associado;34;11;0,324
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Eletromecânica;Técnico;Controle e Processos Industriais;Automação;Integrado;Integral;Educação Presencial;Sem Programa Associado;103;12;0,117
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Eletromecânica;Técnico;Controle e Processos Industriais;Automação;Integrado;Matutino;Educação Presencial;Sem Programa Associado;121;3;0,025
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Eletromecânica;Técnico;Controle e Processos Industriais;Automação;Subsequente;Matutino;Educação Presencial;Sem Programa Associado;15;;
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Eletromecânica;Técnico;Controle e Processos Industriais;Automação;Subsequente;Noturno;Educação Presencial;Sem Programa Associado;92;21;0,228
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Informática;Técnico;Informação e Comunicação;Informática;Integrado;Integral;Educação Presencial;Sem Programa Associado;112;8;0,071
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Informática;Técnico;Informação e Comunicação;Informática;Integrado;Matutino;Educação Presencial;Sem Programa Associado;71;;
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Informática;Técnico;Informação e Comunicação;Informática;Integrado;Noturno;Educação Presencial;Sem Programa Associado;35;11;0,314
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Informática;Técnico;Informação e Comunicação;Informática;Subsequente;Matutino;Educação Presencial;Sem Programa Associado;10;;
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Informática;Técnico;Informação e Comunicação;Informática;Subsequente;Noturno;Educação Presencial;Sem Programa Associado;52;22;0,423
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Meio Ambiente;Técnico;Ambiente e Saúde;Meio Ambiente;Subsequente;Matutino;Educação Presencial;Sem Programa Associado;10;;
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Meio Ambiente;Técnico;Ambiente e Saúde;Meio Ambiente;Subsequente;Noturno;Educação Presencial;Sem Programa Associado;75;22;0,293
2023;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Mineração;Técnico;Recursos Naturais;Recursos Minerais;Integrado;Integral;Educação Presencial;Sem Programa Associado;107;17;0,159
