Ano;Região;UF;Estado;Organização Acadêmica PNP;Instituicao;Instituição (Nome);nomeUnidadeRecente;categoriaSituacao;nomeSituacao;FluxoRetido;Número de Matrículas
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Iporá;Concluintes;Concluída;Em fluxo;512
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Iporá;Em curso;Em curso;Em fluxo;1427
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Iporá;Em curso;Em curso;Retido;388
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Iporá;Evadidos;Abandono;Em fluxo;4
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Iporá;Evadidos;Desligada;Em fluxo;193
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Iporá;Evadidos;Reprovado;Em fluxo;54
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Iporá;Evadidos;Transf. externa;Em fluxo;51
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Morrinhos;Concluintes;Concluída;Em fluxo;332
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Morrinhos;Em curso;Em curso;Em fluxo;1043
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Morrinhos;Em curso;Em curso;Retido;724
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Morrinhos;Evadidos;Abandono;Em fluxo;25
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Morrinhos;Evadidos;Desligada;Em fluxo;12
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Morrinhos;Evadidos;Transf. externa;Em fluxo;19
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Posse;Concluintes;Concluída;Em fluxo;258
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Posse;Em curso;Em curso;Em fluxo;598
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Posse;Em curso;Em curso;Retido;318
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Posse;Evadidos;Abandono;Em fluxo;36
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Posse;Evadidos;Desligada;Em fluxo;273
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Posse;Evadidos;Transf. externa;Em fluxo;36
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Rio Verde;Concluintes;Concluída;Em fluxo;359
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Rio Verde;Concluintes;Integralizada;Em fluxo;84
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Rio Verde;Em curso;Em curso;Em fluxo;2286
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Rio Verde;Em curso;Em curso;Retido;781
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Rio Verde;Evadidos;Abandono;Em fluxo;33
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Rio Verde;Evadidos;Desligada;Em fluxo;148
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Rio Verde;Evadidos;Reprovado;Em fluxo;4
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Rio Verde;Evadidos;Transf. externa;Em fluxo;13
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Trindade;Concluintes;Concluída;Em fluxo;184
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Trindade;Em curso;Em curso;Em fluxo;497
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Trindade;Em curso;Em curso;Retido;182
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Trindade;Evadidos;Abandono;Em fluxo;127
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Trindade;Evadidos;Desligada;Em fluxo;32
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Trindade;Evadidos;Transf. externa;Em fluxo;57
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Urutaí;Concluintes;Concluída;Em fluxo;321
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Urutaí;Concluintes;Integralizada;Em fluxo;3
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Urutaí;Em curso;Em curso;Em fluxo;1159
